Collection,Document ID,Purpose,Core Fields,Relations,Roles Involved,Access Rule Summary
users,uid,Auth profile + GEES role,"uid,email,displayName,role,status,teamId,permissions,photoURL,lastLoginAt,createdAt,updatedAt",Firebase Auth UID,student/agent/staff/admin/super_admin,All authenticated users read own; admins read/manage
students,studentId,Student CRM profile,"uid,fullName,email,phone,country,targetCountry,level,intake,assignedAgentId,assignedStaffId,status,createdAt",users.uid,student/admin/assigned agent/staff,Student owns self; agent/staff assigned; admin full
agents,agentId,Agent/company profile,"uid,type,companyName,contactName,email,phone,country,status,approvedAt,approvedBy,createdAt",users.uid,agent/admin/super_admin,Agent owns self; admin approves
staff_profiles,staffId,Staff employee profile,"uid,teamId,position,permissions,status,managerId,createdAt",users.uid,staff/admin/super_admin,Staff owns limited; admin manages
applications,applicationId,Student application pipeline,"studentId,agentId,staffId,country,universityId,courseId,intake,status,progress,timeline,createdAt,updatedAt",students.studentId,student/assigned agent/staff/admin,Owner/assigned/admin access
documents,documentId,Document metadata,"studentId,applicationId,type,fileName,storagePath,mimeType,size,status,uploadedBy,reviewedBy,createdAt",applications.applicationId,student/assigned/admin,Metadata only; file in Storage
commissions,commissionId,Agent commission records,"agentId,studentId,applicationId,amount,currency,status,dueDate,paidAt,createdAt",agents.agentId,agent/admin,Agent sees own; admin manages
approvals,approvalId,Pending approvals workflow,"type,entityId,requestedBy,status,reviewedBy,decisionNote,createdAt,updatedAt",agents/users/documents/etc,admin/super_admin,Admin manages; related user can see status
audit_logs,logId,Immutable security/action log,"actorUid,actorRole,action,entityType,entityId,ip,userAgent,createdAt,metadata",users.uid,admin/super_admin,Append by Cloud Functions only
notifications,notificationId,In-app notifications,"recipientUid,roleScope,title,message,type,readAt,actionUrl,createdAt",users.uid,all roles,Users read own; Functions/admin create
support_tickets,ticketId,Support requests,"createdByUid,role,subject,status,priority,assignedTo,messages,lastReplyAt,createdAt",users.uid,student/agent/staff/admin,Creator + assigned staff/admin
chat_threads,threadId,Portal chat thread,"participants,type,status,lastMessageAt,createdAt",users.uid,participants/admin,Participants only
chat_messages,messageId,Portal chat messages,"threadId,senderUid,message,attachments,createdAt,readBy",chat_threads.threadId,participants/admin,Participants only
universities,universityId,University master data,"name,country,city,logo,ranking,partnerStatus,status,createdAt",none,public/admin/staff,Public read approved; admin/staff manage
courses,courseId,Course/program master data,"universityId,title,level,field,country,duration,fees,intakes,status,createdAt",universities.universityId,public/admin/staff,Public read approved; admin/staff manage
payments,paymentId,Payment/receipt tracking,"studentId,applicationId,amount,currency,method,status,receiptPath,createdAt",students.studentId,student/admin,Student own; admin manages
agreements,agreementId,Agreement signing records,"studentId,agentId,type,status,filePath,signedAt,createdAt",students/agents,student/agent/admin,Related user + admin
